212.4792   94  138  132  139  122
212.5208  300  783  704  785  731
212.5625  864  964  732  986 1045
212.6042  867  818  453  843 1057
212.6458  331  460  196  440  637
212.6875  126  284  149  237  346
213.1875    1    1    3    1    1
213.2292   36   40   60   28   25
213.2708  320  207  390  112   58
213.3125  399  391  609  278   86
213.3542  744  684  947  578  214
213.3958  867  864 1058  798  451
213.4375  913  974 1092  966  679
213.4792  813  965  999 1017  828
213.5208  381  591  543  615  569
214.2292  253   67  185   22   22
214.2708  633  256  553  117   52
214.3125  782  455  795  336   61
214.3542  854  646  960  569  156
214.3958  895  787 1020  781  397
214.4375  910  904 1037  922  627
214.4792  895  973  973 1010  848
214.5208  579  751  637  742  734
214.5625   65  323  262  288  309
214.6042   35  248  208  219  232
214.6458  165  370  187  322  455
214.6875   80  160   85  130  191
214.7708   12   27   15   17   34
215.2292  329   70  233   21   23
215.2708  678  252  579  130   50
215.3125  807  454  818  360   60
215.3542  838  621  936  574  160
215.3958  876  803 1039  796  411
215.4375  556  717  766  703  527
215.4792  426  829  799  839  731
215.5208  433  725  622  734  715
215.5625  176  457  348  440  474
215.6042  323  533  309  485  622
215.6458  265  355  192  325  441
215.6875  100  256  143  208  306
215.7708    5   11   10    9   11
216.2708    1   72   62   56   57
216.3125  131  270  343  223  156
216.3542   50  347  364  295  231
216.3958  284  416  493  408  278
216.4375  574  555  617  559  406
216.4792  392  587  579  597  510
216.5208  651  866  769  910  860
216.5625  809  915  673  948 1025
216.6042  674  823  441  801 1029
216.6458  207  292  143  259  374
216.6875  191  305  122  272  447
216.7292  117  166   77  122  238
216.7708    4   18   12   13   26
217.2292    3   17   15   15   14
217.2708    3   50   44   43   42
218.5625  581  804  586  821  901
218.6042  706  750  399  738  951
218.6458  749  607  176  567  899
218.6875  476  374   91  319  613
218.7292  102  127   63   92  198
218.7708   99   54   32   36  104
219.2292  142   73  151   42   38
219.2708  137  134  197   92   80
219.3125   89  268  336  224  144
219.3542  185  438  558  406  240
219.3958   47  457  480  411  330
219.4375   81  655  649  604  512
219.4792  183  575  539  531  480
219.5208    4  289  234  238  256
221.3125  766  411  748  337   59
221.3542  640  551  804  515  176
